eval_set,instance_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP,golden_patch_added,golden_patch_deleted,golden_patch_total
Multi-SWE-bench,BurntSushi__ripgrep-2488,BurntSushi/ripgrep,041544853c86dde91c49983e5ddd0aa799bd2831,0,0,0,0,1286,0,29456,0,0,19,0,0,16,2,18
Multi-SWE-bench,BurntSushi__ripgrep-2295,BurntSushi/ripgrep,1d35859861fa4710cee94cf0e0b2e114b152b946,0,0,0,0,1286,0,30037,0,0,19,0,0,18,2,20
Multi-SWE-bench,BurntSushi__ripgrep-954,BurntSushi/ripgrep,223d7d9846bff4a9aaf6ba84f5662a1ee7ffa900,0,0,0,0,928,0,15941,0,0,20,0,0,1,1,2
Multi-SWE-bench,BurntSushi__ripgrep-1294,BurntSushi/ripgrep,392682d35296bda5c0d0cccf43bae55be3d084df,0,0,0,0,955,0,27178,0,0,20,0,0,28,0,28
Multi-SWE-bench,BurntSushi__ripgrep-1367,BurntSushi/ripgrep,4858267f3b97fe2823d2ce104c1f90ec93eee8d7,0,0,0,0,955,0,27294,0,0,20,0,0,11,4,15
Multi-SWE-bench,BurntSushi__ripgrep-2209,BurntSushi/ripgrep,4dc6c73c5a9203c5a8a89ce2161feca542329812,0,0,0,0,1275,0,29257,0,0,19,0,0,50,20,70
Multi-SWE-bench,BurntSushi__ripgrep-723,BurntSushi/ripgrep,5e73075ef5300fdec03f6c4685750788108b00f4,0,0,0,0,928,0,13196,0,0,20,0,0,53,3,56
Multi-SWE-bench,BurntSushi__ripgrep-2626,BurntSushi/ripgrep,7099e174acbcbd940f57e4ab4913fee4040c826e,0,0,0,0,1286,0,30878,0,0,19,0,0,12751,6151,18902
Multi-SWE-bench,BurntSushi__ripgrep-2610,BurntSushi/ripgrep,86ef6833085428c21ef1fb7f2de8e5e7f54f1f72,0,0,0,0,1286,0,30177,0,0,19,0,0,2394,747,3141
Multi-SWE-bench,BurntSushi__ripgrep-1980,BurntSushi/ripgrep,9b01a8f9ae53ebcd05c27ec21843758c2c1e823f,0,0,0,0,1275,0,29244,0,0,19,0,0,71,39,110
Multi-SWE-bench,BurntSushi__ripgrep-727,BurntSushi/ripgrep,b6177f0459044a7e3fb882ecda9c80e44e4d95de,0,0,0,0,928,0,13237,0,0,20,0,0,11,2,13
Multi-SWE-bench,BurntSushi__ripgrep-454,BurntSushi/ripgrep,c50b8b4125dc7f1181944dd92d0aca97c2450421,0,0,0,0,927,0,12482,0,0,15,0,0,9,18,27
Multi-SWE-bench,BurntSushi__ripgrep-2576,BurntSushi/ripgrep,fed4fea217abbc502f2e823465de903c8f2b623d,0,0,0,0,1286,0,30072,0,0,19,0,0,16,2,18
Multi-SWE-bench,BurntSushi__ripgrep-1642,BurntSushi/ripgrep,ffd4c9ccba0ffc74270a8d3ae75f11a7ba7a1a64,0,0,0,0,955,0,28238,0,0,19,0,0,29,2,31
Multi-SWE-bench,Kong__insomnia-7734,Kong/insomnia,44642a49e9a104a53964b3b2b9c589910d391236,0,0,0,0,0,0,0,93593,156,0,98789,0,1,0,1
Multi-SWE-bench,alibaba__fastjson2-2775,alibaba/fastjson2,12b40c7ba3e7c30e35977195770c80beb34715c5,0,0,418874,1549,0,62,0,0,130,0,0,0,31,0,31
Multi-SWE-bench,alibaba__fastjson2-2285,alibaba/fastjson2,27ca2b45c33cd362fa35613416f5d62ff9567921,0,0,402454,1549,0,62,0,0,130,0,0,0,1,0,1
Multi-SWE-bench,alibaba__fastjson2-82,alibaba/fastjson2,3aed80608b36c310d0fe5f240f49d670b3638698,0,0,176683,133,0,0,0,0,0,0,0,0,6,0,6
Multi-SWE-bench,alibaba__fastjson2-2097,alibaba/fastjson2,3f6275bcc3cd40a57f6d257cdeec322d1b9ae06d,0,0,394388,1426,0,62,0,0,130,0,0,0,1,1,2
Multi-SWE-bench,alibaba__fastjson2-2559,alibaba/fastjson2,45cc6b34343bc133a03c632d6c9dd4a2d895e2e9,0,0,409624,1549,0,62,0,0,130,0,0,0,17,0,17
Multi-SWE-bench,alibaba__fastjson2-1245,alibaba/fastjson2,6648b96c0162c222467eb44bac30a9d59392c7ff,0,0,348366,1334,0,62,0,0,130,0,0,0,6,0,6
Multi-SWE-bench,anuraghazra__github-readme-stats-1378,anuraghazra/github-readme-stats,02ebd3243b4dc1aba224c7c75c23ebd3e4867ed2,0,0,0,0,0,0,0,4933,0,0,0,0,16,6,22
Multi-SWE-bench,anuraghazra__github-readme-stats-2491,anuraghazra/github-readme-stats,112000667c01f18fd161f204ae3ee796ec2e3011,0,0,0,0,7,0,0,7030,0,0,0,0,26,4,30
Multi-SWE-bench,anuraghazra__github-readme-stats-58,anuraghazra/github-readme-stats,2efb399f33d8f3dca7eb156404598384f419cb8b,0,0,0,0,0,0,0,1203,0,0,0,0,99,29,128
Multi-SWE-bench,anuraghazra__github-readme-stats-1314,anuraghazra/github-readme-stats,4dbb9e93b9be070169228d89bff9a82342587a81,0,0,0,0,0,0,0,4854,0,0,0,0,97,57,154
Multi-SWE-bench,anuraghazra__github-readme-stats-2075,anuraghazra/github-readme-stats,60012707c7eaa51fd0377ce8ae46da6ebad24342,0,0,0,0,0,0,0,6164,0,0,0,0,21,6,27
Multi-SWE-bench,anuraghazra__github-readme-stats-2228,anuraghazra/github-readme-stats,8e3147014ca6ef63033574f12c70c1372ec26db8,0,0,0,0,0,0,0,6222,0,0,0,0,10,8,18
Multi-SWE-bench,anuraghazra__github-readme-stats-88,anuraghazra/github-readme-stats,96f89ad2b7ef282b3dc15642e3c658af86972b19,0,0,0,0,0,0,0,1416,0,0,0,0,53,35,88
Multi-SWE-bench,anuraghazra__github-readme-stats-721,anuraghazra/github-readme-stats,99591915eceb5136c0882037aa893cda5b5dbb34,0,0,0,0,0,0,0,4469,0,0,0,0,57,3,60
Multi-SWE-bench,anuraghazra__github-readme-stats-3442,anuraghazra/github-readme-stats,9c6eb2286284a44ea3ba983ab4d2d2f8a8c2203e,0,0,0,0,7,0,0,10186,0,0,0,0,368,171,539
Multi-SWE-bench,anuraghazra__github-readme-stats-117,anuraghazra/github-readme-stats,9fb28c91126d798b9f489dc25d0055b805cd40e6,0,0,0,0,0,0,0,1792,0,0,0,0,56,5,61
Multi-SWE-bench,anuraghazra__github-readme-stats-148,anuraghazra/github-readme-stats,aa44bd7615442cc927ac070c5aedf35cb865c3a2,0,0,0,0,0,0,0,2564,0,0,0,0,41,18,59
Multi-SWE-bench,anuraghazra__github-readme-stats-99,anuraghazra/github-readme-stats,b039fa16afedf91cc9044f790ec63f23dbfa0299,0,0,0,0,0,0,0,1457,0,0,0,0,17,1,18
Multi-SWE-bench,anuraghazra__github-readme-stats-105,anuraghazra/github-readme-stats,b4a9bd4468cfddfac0b556c16ead03f0683a2656,0,0,0,0,0,0,0,1540,0,0,0,0,172,18,190
Multi-SWE-bench,anuraghazra__github-readme-stats-2844,anuraghazra/github-readme-stats,c5d4bcbc1ac5e1811681e4acd825cd39145fb2d9,0,0,0,0,7,0,0,8270,0,0,0,0,161,149,310
Multi-SWE-bench,anuraghazra__github-readme-stats-1370,anuraghazra/github-readme-stats,d0ab2ff030edfecf74373de8ca16e9d09a273afa,0,0,0,0,0,0,0,4943,0,0,0,0,15,6,21
Multi-SWE-bench,anuraghazra__github-readme-stats-1608,anuraghazra/github-readme-stats,d57251cdf1cb5e7b6cea6081147eb9daf8257eef,0,0,0,0,0,0,0,5144,0,0,0,0,38,10,48
Multi-SWE-bench,anuraghazra__github-readme-stats-2099,anuraghazra/github-readme-stats,daa1977ba310f5dcb44f7945e7ecb5537e708c05,0,0,0,0,7,0,0,7307,0,0,0,0,302,158,460
Multi-SWE-bench,anuraghazra__github-readme-stats-293,anuraghazra/github-readme-stats,e1932fdf7479fd48051de5ec788fcb76d4e783f0,0,0,0,0,0,0,0,4075,0,0,0,0,28,7,35
Multi-SWE-bench,anuraghazra__github-readme-stats-1041,anuraghazra/github-readme-stats,fef8bc3a4a4ddb12a5c779e7cae18438231845a7,0,0,0,0,0,0,0,4768,0,0,0,0,40,40,80
Multi-SWE-bench,apache__dubbo-11781,apache/dubbo,d0a1bd014331483c19208b831c4f6b488654a508,0,0,214469,0,0,0,0,0,0,0,0,0,2,2,4
Multi-SWE-bench,apache__dubbo-10638,apache/dubbo,ddd1786578438c68f1f6214bcab600a299245d7d,0,0,208300,0,0,0,0,0,0,0,0,0,19,1,20
Multi-SWE-bench,apache__dubbo-7041,apache/dubbo,e84cdc217a93f4628415ea0a7d8a9d0090e2c940,0,0,172676,0,0,0,0,0,0,0,0,0,4,0,4
Multi-SWE-bench,axios__axios-5661,axios/axios,0abc70564746496eb211bbd951041b4655aec268,0,0,0,0,0,0,0,21209,575,0,889,0,9,5,14
Multi-SWE-bench,axios__axios-5338,axios/axios,7fbfbbeff69904cd64e8ac62da8969a1e633ee23,0,0,0,0,0,0,0,18921,575,0,889,0,345,293,638
Multi-SWE-bench,axios__axios-5085,axios/axios,85740c3e7a1fa48346dfcbd4497f463ccb1c1b05,0,0,0,0,0,0,0,14925,554,0,332,0,5,11,16
Multi-SWE-bench,axios__axios-5919,axios/axios,bc9af51b1886d1b3529617702f2a21a6c0ed5d92,0,0,0,0,0,0,0,21457,575,0,918,0,34,16,50
Multi-SWE-bench,catchorg__Catch2-1616,catchorg/Catch2,00347f1e79260e76d5072cca5b3636868397dda5,4078,28052,0,0,1184,0,0,0,0,0,0,0,2379,167,2546
Multi-SWE-bench,catchorg__Catch2-2394,catchorg/Catch2,1a8a793178d50b74b0f9a0adb3eec937b61039a9,14,42684,0,0,1430,0,0,0,0,0,0,0,3,0,3
Multi-SWE-bench,catchorg__Catch2-1422,catchorg/Catch2,1faccd601d904a951142d8fba82914a8325b764e,3697,24719,0,0,1141,0,0,0,0,0,0,0,70,9,79
Multi-SWE-bench,catchorg__Catch2-2187,catchorg/Catch2,2cb5210caf35bf8fc29ade2e5570cc0f37537951,14,40179,0,0,1403,0,0,0,0,0,0,0,6,10,16
Multi-SWE-bench,catchorg__Catch2-2723,catchorg/Catch2,4acc51828f7f93f3b2058a63f54d112af4034503,14,47957,0,0,1607,0,0,0,0,0,0,0,10,2,12
Multi-SWE-bench,catchorg__Catch2-1448,catchorg/Catch2,62460fafe6b54c3173bc5cbc46d05a5f071017ff,3779,24973,0,0,1212,0,0,0,0,0,0,0,160,29,189
Multi-SWE-bench,catchorg__Catch2-2128,catchorg/Catch2,65c9a1d31a338f28ef93cd61c475efc40f6cc42e,14,40344,0,0,1403,0,0,0,0,0,0,0,38,51,89
Multi-SWE-bench,catchorg__Catch2-2849,catchorg/Catch2,7ce35799767de7b9c6ba836c72e479c5f70219a3,14,51531,0,0,1716,0,0,0,0,0,0,0,289,69,358
Multi-SWE-bench,catchorg__Catch2-2288,catchorg/Catch2,85c9544fa4c9625b9656d9bd765e54f8e639287f,4331,33472,0,0,1296,0,0,0,0,0,0,0,1,1,2
Multi-SWE-bench,catchorg__Catch2-1608,catchorg/Catch2,979bbf03bb00bc55ca09783791b5091a2247df68,4000,26798,0,0,1184,0,0,0,0,0,0,0,80,7,87
Multi-SWE-bench,catchorg__Catch2-1614,catchorg/Catch2,9c741fe96073ed620ffc032afbed1f3c789d2b68,4000,26821,0,0,1184,0,0,0,0,0,0,0,116,9,125
Multi-SWE-bench,catchorg__Catch2-1609,catchorg/Catch2,bd703dd74be7fd2413eb0c01662a491bcebea430,3993,26858,0,0,1184,0,0,0,0,0,0,0,2036,86,2122
Multi-SWE-bench,clap-rs__clap-4056,clap-rs/clap,0129d99f4c4208e78a770657dc3d628a3bba8f19,0,0,0,0,32,0,45566,642,0,0,0,0,90,213,303
Multi-SWE-bench,clap-rs__clap-1972,clap-rs/clap,055568d3fe9fd3e96366035e4129975001c7e01c,0,0,0,0,0,0,30229,0,0,0,0,0,3,3,6
Multi-SWE-bench,clap-rs__clap-5075,clap-rs/clap,063b1536289f72369bcd59d61449d355aa3a1d6b,0,0,0,0,32,0,52482,708,0,0,0,0,105,2,107
Multi-SWE-bench,clap-rs__clap-2878,clap-rs/clap,089c4160cf371f95ea0aed0997edfb018aeff8ce,0,0,0,0,0,0,39606,0,75,0,0,0,10,13,23
Multi-SWE-bench,clap-rs__clap-5084,clap-rs/clap,0a870087991b718495c94966f9c6e4c2dd425cc8,0,0,0,0,32,0,52689,708,0,0,0,0,19,2,21
Multi-SWE-bench,clap-rs__clap-5025,clap-rs/clap,0d9b14fa6e9ccb09fea5d7c93477b7fca8d51bdc,0,0,0,0,32,0,52766,708,0,0,0,0,34,28,62
Multi-SWE-bench,clap-rs__clap-4573,clap-rs/clap,0eccd556ac694cdb68251f758e9b80574be349a8,0,0,0,0,32,0,49834,708,0,0,0,0,11,2,13
Multi-SWE-bench,clap-rs__clap-2669,clap-rs/clap,10c7228b3f8f1e9e1f2b9744cd802d8658c36f1a,0,0,0,0,0,0,37516,0,64,0,0,0,373,266,639
Multi-SWE-bench,clap-rs__clap-3420,clap-rs/clap,135b15467eda2394b017f2a7d25cda1417c0feec,0,0,0,0,32,0,43444,0,0,0,0,0,77,116,193
Multi-SWE-bench,clap-rs__clap-3421,clap-rs/clap,15f01789d2a6b8952a01a8a3881b94aed4a44f4c,0,0,0,0,32,0,43601,0,0,0,0,0,5,5,10
Multi-SWE-bench,clap-rs__clap-4039,clap-rs/clap,179faa6bb249c3b8b80d933241759a6180324cbb,0,0,0,0,32,0,45387,642,0,0,0,0,30,3,33
Multi-SWE-bench,clap-rs__clap-3684,clap-rs/clap,17ec7757891a38965e8492f7a0a48e674a9536eb,0,0,0,0,32,0,47207,616,0,0,0,0,15,44,59
Multi-SWE-bench,clap-rs__clap-4059,clap-rs/clap,1a08b9184bb1c4639042ad99290c6026ec7542ee,0,0,0,0,32,0,45235,642,0,0,0,0,5,31,36
Multi-SWE-bench,clap-rs__clap-1624,clap-rs/clap,1c3958c56eca35235ed6837c666adb8ede979961,0,0,0,0,0,0,21990,0,1,0,0,0,84,0,84
Multi-SWE-bench,clap-rs__clap-5873,clap-rs/clap,1d5c6798dc16db0b8130a0c73c8a5d818ec22131,0,0,0,0,32,0,56093,0,0,0,0,0,5,3,8
Multi-SWE-bench,clap-rs__clap-2008,clap-rs/clap,1dd3fcb954355198193a793d2983db383829ec2f,0,0,0,0,0,0,31241,0,0,0,0,0,88,2,90
Multi-SWE-bench,clap-rs__clap-2867,clap-rs/clap,1f17d9e8ba5b64baca9e2d49c1b097b167bf4df6,0,0,0,0,0,0,40080,0,75,0,0,0,126,207,333
Multi-SWE-bench,clap-rs__clap-3775,clap-rs/clap,20ed49a535d14afac1972dd3cc3003c97bcc744f,0,0,0,0,32,0,48965,616,0,0,0,0,192,7,199
Multi-SWE-bench,clap-rs__clap-2796,clap-rs/clap,236cf584cfeccdae995d19a25245d261e00c32e3,0,0,0,0,0,0,38861,0,75,0,0,0,14,5,19
