eval_set,instance_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP,golden_patch_added,golden_patch_deleted,golden_patch_total
SWE-Bench Verified,astropy__astropy-13579,astropy/astropy,0df94ff7097961e92fd7812036a24b145bc13ca8,222941,0,0,0,255671,0,0,16323,79,0,0,0,3,1,4
SWE-Bench Verified,astropy__astropy-13453,astropy/astropy,19cc80471739bcb67b7e8099246b391c355023ee,222941,0,0,0,255137,0,0,16323,79,0,0,0,2,0,2
SWE-Bench Verified,astropy__astropy-14096,astropy/astropy,1a4462d72eb03f30dc83a879b1dd57aac8b2c18b,235716,0,0,0,281393,0,0,16323,79,0,0,0,2,4,6
SWE-Bench Verified,astropy__astropy-7166,astropy/astropy,26d147868f8a891a6009a25cd6a8576d2e1bd747,218723,364,0,0,174399,0,0,16038,2179,0,0,0,3,7,10
SWE-Bench Verified,astropy__astropy-13033,astropy/astropy,298ccb478e6bf092953bca67a3d29dc6c35f6752,222938,0,0,0,251728,0,0,16038,79,0,0,0,11,3,14
SWE-Bench Verified,astropy__astropy-7606,astropy/astropy,3cedd79e6c121910220f8e6df77c54a0b344ea94,220043,364,0,0,180235,0,0,16038,2179,0,0,0,7,3,10
SWE-Bench Verified,astropy__astropy-13977,astropy/astropy,5250b2442501e6c671c6b380536f1edb352602d1,235716,0,0,0,281581,0,0,16323,79,0,0,0,56,39,95
SWE-Bench Verified,astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,222941,0,0,0,255299,0,0,16323,79,0,0,0,202,13,215
SWE-Bench Verified,astropy__astropy-13236,astropy/astropy,6ed769d58d89380ebaa1ef52b300691eefda8928,222941,0,0,0,254486,0,0,16038,79,0,0,0,0,7,7
SWE-Bench Verified,astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,123313,0,0,0,284534,0,0,16323,79,0,0,0,2,2,4
