eval_set,instance_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP,golden_patch_added,golden_patch_deleted,golden_patch_total
SWE-Lancer,17387_1,Expensify/App,006a1dfe67a7eb621f511548df17d713c096fe19,31,0,708,186,0,0,0,1628115,936,141,337367,0,5,5,10
SWE-Lancer,45543_1016,Expensify/App,1e905672328514699892e4006958c85fdd152b2f,29,0,614,139,0,0,0,228886,754,67,279547,0,1,1,2
SWE-Lancer,42153_910,Expensify/App,2929a911ad33264fd5cee1cefe98b34cdaaa99c5,29,0,614,135,0,0,0,204722,756,21,241905,0,19,44,63
SWE-Lancer,45190_520,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,6,29,35
SWE-Lancer,27363_760,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,5,1,6
SWE-Lancer,28660_787,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,2,4
SWE-Lancer,28030_832,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,1,2
SWE-Lancer,26258_492,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,8,14,22
SWE-Lancer,39904_611,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,6,10,16
SWE-Lancer,19132_872,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,18,19
SWE-Lancer,20569_1122,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,2,4
SWE-Lancer,43726_1012,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,12,26,38
SWE-Lancer,18827_741,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,3,2,5
SWE-Lancer,44146_1028,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,86,134,220
SWE-Lancer,46383_999,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,2,4
SWE-Lancer,19022_888,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,12,7,19
SWE-Lancer,43395_530,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,22,57,79
SWE-Lancer,29618_781,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,127,22,149
SWE-Lancer,44429_1100,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,15,16
SWE-Lancer,29433_762,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,0,1,1
SWE-Lancer,44336_1047,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,4,27,31
SWE-Lancer,46374_1086,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,9,10,19
SWE-Lancer,44509_397,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,0,3,3
SWE-Lancer,24508_791,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,2,4
SWE-Lancer,42204_388,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,5,23,28
SWE-Lancer,41925_887,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,0,3,3
SWE-Lancer,28148_414,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,0,1,1
SWE-Lancer,45990_993,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,27,23,50
SWE-Lancer,39947_987,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,50,73,123
SWE-Lancer,28250_990,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,4,5,9
SWE-Lancer,24145_783,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,3,4
SWE-Lancer,44152_1098,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,3,8,11
SWE-Lancer,13066_1,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,1,3
SWE-Lancer,42556_686,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,5,6
SWE-Lancer,41529_679,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,4,53,57
SWE-Lancer,47050_1025,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,2,3
SWE-Lancer,27156_665,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,6,19,25
SWE-Lancer,29895_725,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,3,6,9
SWE-Lancer,38087_1083,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,23,6,29
SWE-Lancer,16921_1,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,26,5,31
SWE-Lancer,29900_697,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,0,1,1
SWE-Lancer,25901_945,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,48,49
SWE-Lancer,43623_571,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,1,8,9
SWE-Lancer,25640_655,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,5,0,5
SWE-Lancer,47282_643,Expensify/App,2b791c9f3053c1682ddcb50ab036deb3e55a7542,32,0,708,141,0,0,0,219120,758,77,300863,0,2,2,4
