swe_bench_test_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML
astropy__astropy-12907,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,213700,0,0,0,249902,0,0,13607,79
astropy__astropy-13033,astropy/astropy,298ccb478e6bf092953bca67a3d29dc6c35f6752,213792,0,0,0,249594,0,0,13607,79
astropy__astropy-13236,astropy/astropy,6ed769d58d89380ebaa1ef52b300691eefda8928,213795,0,0,0,252304,0,0,13607,79
astropy__astropy-13398,astropy/astropy,6500928dc0e57be8f06d1162eacc3ba5e2eff692,213795,0,0,0,252985,0,0,13892,79
astropy__astropy-13453,astropy/astropy,19cc80471739bcb67b7e8099246b391c355023ee,213795,0,0,0,252823,0,0,13892,79
astropy__astropy-13579,astropy/astropy,0df94ff7097961e92fd7812036a24b145bc13ca8,213795,0,0,0,253357,0,0,13892,79
astropy__astropy-13977,astropy/astropy,5250b2442501e6c671c6b380536f1edb352602d1,217221,0,0,0,280215,0,0,13892,79
astropy__astropy-14096,astropy/astropy,1a4462d72eb03f30dc83a879b1dd57aac8b2c18b,217221,0,0,0,280028,0,0,13892,79
astropy__astropy-14182,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,217221,0,0,0,280367,0,0,13892,79
astropy__astropy-14309,astropy/astropy,cdb66059a2feb44ee49021874605ba90801f9986,119650,0,0,0,281356,0,0,13892,79
astropy__astropy-14365,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,119650,0,0,0,283329,0,0,13892,79
astropy__astropy-14369,astropy/astropy,fa4e8d1cd279acf9b24560813c8652494ccd5922,119650,0,0,0,281689,0,0,13892,79
astropy__astropy-14508,astropy/astropy,a3f4ae6cd24d5ecdf49f213d77b3513dd509a06c,119650,0,0,0,282879,0,0,13892,79
astropy__astropy-14539,astropy/astropy,c0a24c1dc957a3b565294213f435fefb2ec99714,119650,0,0,0,282932,0,0,13892,79
astropy__astropy-14598,astropy/astropy,80c3854a5f4f4a6ab86c03d9db7854767fcd83c1,119650,0,0,0,283583,0,0,13892,79
astropy__astropy-14995,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,119650,0,0,0,281815,0,0,13892,79
astropy__astropy-7166,astropy/astropy,26d147868f8a891a6009a25cd6a8576d2e1bd747,208721,364,0,0,172802,0,0,13607,2179
astropy__astropy-7336,astropy/astropy,732d89c2940156bdc0e200bb36dc38b5e424bcba,209393,364,0,0,174193,0,0,13607,2179
astropy__astropy-7606,astropy/astropy,3cedd79e6c121910220f8e6df77c54a0b344ea94,210011,364,0,0,178677,0,0,13607,2179
astropy__astropy-7671,astropy/astropy,a7141cd90019b62688d507ae056298507678c058,209989,364,0,0,177268,0,0,13607,2179
astropy__astropy-8707,astropy/astropy,a85a0747c54bac75e9c3b2fe436b105ea029d6cf,217590,0,0,0,188694,0,0,13607,79
astropy__astropy-8872,astropy/astropy,b750a0e6ee76fb6b8a099a4d16ec51977be46bf6,217590,0,0,0,189788,0,0,13607,79
django__django-10097,django/django,b9cf764be62e77b4777b3a75ec256f6209a57671,0,0,0,0,253492,0,0,18888,4631
django__django-10554,django/django,14d026cccb144c6877294ba4cd4e03ebf0842498,0,0,0,0,265226,0,0,18752,4601
django__django-10880,django/django,838e432e3e5519c5383d12018e6c78f8ec7833c1,0,0,0,0,262357,0,0,18920,4597
django__django-10914,django/django,e7fd69d051eaa67cb17f172a39b57253e9cb831a,0,0,0,0,261566,0,0,18920,4602
django__django-10973,django/django,ddb293685235fd09e932805771ae97f72e817181,0,0,0,0,261635,0,0,18920,4602
django__django-10999,django/django,36300ef336e3f130a0dadc1143163ff3d23dc843,0,0,0,0,261834,0,0,18920,4602
django__django-11066,django/django,4b45b6c8e4d7c9701a332e80d3b1c84209dc36e2,0,0,0,0,264916,0,0,18752,4601
django__django-11087,django/django,8180ffba21bf10f4be905cb0d4890dc2bcff2788,0,0,0,0,263638,0,0,18748,4601
django__django-11095,django/django,7d49ad76562e8c0597a0eb66046ab423b12888d8,0,0,0,0,263608,0,0,18748,4601
django__django-11099,django/django,d26b2424437dabeeca94d7900b37d2df4410da0c,0,0,0,0,263103,0,0,18914,4602
django__django-11119,django/django,d4df5e1b0b1c643fe0fc521add0236764ec8e92a,0,0,0,0,263192,0,0,18914,4602
django__django-11133,django/django,879cc3da6249e920b8d54518a0ae06de835d7373,0,0,0,0,263302,0,0,18748,4600
django__django-11138,django/django,c84b91b7603e488f7171fdff8f08368ef3d6b856,0,0,0,0,263545,0,0,18748,4601
