eval_set,instance_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP
SWE-Bench Multilingual,apache__druid-13704,apache/druid,51dfde02840017092486fb75be2b16566aff6a19,0,0,1005160,0,2518,0,0,1450,58,0,47535,0
SWE-Bench Multilingual,apache__druid-14092,apache/druid,4fffee17761286996a8c43154b72db4bcaafb16d,0,0,1033568,0,4661,0,0,1469,58,0,48504,0
SWE-Bench Multilingual,apache__druid-14136,apache/druid,a7d4162195a630c380d75516c24229cc23e25271,0,0,1034727,0,4661,0,0,1469,58,0,48627,0
SWE-Bench Multilingual,apache__druid-15402,apache/druid,1df53d6eb30a019fff69a5ff7533ebbd998a438d,0,0,1123534,0,4736,0,0,1574,58,0,55046,0
SWE-Bench Multilingual,apache__druid-16875,apache/druid,483a03f26c7221f10493d86715985a58e61af967,0,0,1209252,0,801,0,0,1293,58,0,62201,0
SWE-Bench Multilingual,apache__lucene-11760,apache/lucene,0ea8035612344e861bbdeaffca2255e5e1480a6a,0,93,831629,0,7597,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-12022,apache/lucene,11f2bc205652f1f2b2f61ba286cbfd2d77fd2d1b,0,0,838382,0,7618,0,0,230,5110,0,0,0
SWE-Bench Multilingual,apache__lucene-12196,apache/lucene,0651d25713dde144df6541663b18accbc93cdc64,0,0,840420,0,7620,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-12212,apache/lucene,b84b360f588c60e2ebdcaa2ce2e6d49f99dd9deb,0,0,841429,0,7620,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-12626,apache/lucene,de820b67cc6d7fc90446affeb756e70a2ddf6b92,0,0,834404,0,8069,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-13170,apache/lucene,3f4413567d2d41ecee16fcfe2c91a4b84bec0df8,0,0,838608,0,8059,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-13301,apache/lucene,0345fcabb3ceb71fb39c1aa77502bae220f259ca,0,0,834352,0,8059,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-13494,apache/lucene,ab291210db08276fef1b52bf7b840d431e96ce08,0,0,852700,0,8062,0,0,230,5109,0,0,0
SWE-Bench Multilingual,apache__lucene-13704,apache/lucene,ce4f56e74ad1087df8bdc019fc09d1b40438e8b3,0,0,868496,0,8824,0,0,230,5109,0,0,0
SWE-Bench Multilingual,astral-sh__ruff-15309,astral-sh/ruff,75a24bbc67aa31b825b6326cfb6e6afdf3ca90d5,0,0,0,0,127027,0,255951,124,68,0,2551,0
SWE-Bench Multilingual,astral-sh__ruff-15330,astral-sh/ruff,b2a0d68d70ee690ea871fe9b3317be43075ddb33,0,0,0,0,127131,0,256832,124,68,0,2551,0
SWE-Bench Multilingual,astral-sh__ruff-15356,astral-sh/ruff,ee9a912f47e64de13cad0b525a714b46c5e29293,0,0,0,0,127199,0,256965,124,68,0,2551,0
SWE-Bench Multilingual,astral-sh__ruff-15394,astral-sh/ruff,73d424ee5e6963d577e196d71c3b19c82e84e612,0,0,0,0,127270,0,256319,124,68,0,2551,0
SWE-Bench Multilingual,astral-sh__ruff-15443,astral-sh/ruff,d1666fbbeec27fe534f261f388fbd5891546ffcf,0,0,0,0,127381,0,256685,124,68,0,2551,0
