eval_set,instance_id,repo,commit,C,C++,Java,Kotlin,Python,Go,Rust,JavaScript,HTML,Ruby,TypeScript,PHP
SWE-PolyBench,google__gson-2337,google/gson,0adcdc80d5ef3a40086a8abd6e2f55164a7c2597,0,0,31201,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__dubbo-3479,apache/dubbo,bf3b423dc5635511000fbd2dcae1b955fbd87d67,0,0,121877,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2498,google/gson,2032818ecb1a5d0932d4702ff36a8cc5b3bc20aa,0,0,35946,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2476,google/gson,ddc76ea4cc7dc8ccb0930ddfee668e2f53a4426c,0,0,33463,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2178,google/gson,18b9ba407d3f33e84d613a695ccd6d0e7360a21e,0,0,27341,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__guava-3191,google/guava,0cd4e9faa1360da4a343f84cb275d6eda0c5e732,0,0,506738,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__rocketmq-7563,apache/rocketmq,4791d9a1f1a7c39e005da15f228473c04eafd007,0,0,214902,0,301,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2376,google/gson,77b566ced0127baf8d9ebf071b50c0f36e296538,0,0,32608,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__dubbo-3317,apache/dubbo,d27fb1f5aa46706a52f63b336932dc24ab95b82f,0,0,114077,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2214,google/gson,28609089faa747f2ad5730281c14093ab40d6fda,0,0,27743,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apolloconfig__apollo-4568,apolloconfig/apollo,526a93506ee380a009dc20a9ab870a37367f983f,0,0,57878,0,0,0,0,14277,6473,0,0,0
SWE-PolyBench,google__gson-2004,google/gson,ba96d53bad35f7466073f14cb3d89d09383e1a2d,0,0,26242,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apolloconfig__apollo-4207,apolloconfig/apollo,96ee53a2c98da763ef0e7557af33c03a8d2ae297,0,0,56959,0,0,0,0,13921,6126,0,0,0
SWE-PolyBench,google__gson-2410,google/gson,cf50a5aaf152a34b3fb8bfd34ed12a07f1b8ed2d,0,0,32142,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2134,google/gson,96ab171eb48dcea94fd9b8f425f65c531e6c3aad,0,0,26426,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2475,google/gson,7b5629bcfca156051253db7d6f6510db5862a967,0,0,32734,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__dubbo-3855,apache/dubbo,b7bd6ada884f49be2676fdf044741ddee2af8443,0,0,179823,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-1904,google/gson,97938283a77707cdf231a7ebdcbee937f289ad31,0,0,25802,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__guava-3560,google/guava,a3c9f2cbe27886ef052922dba1cceedbf39cec2d,0,0,510511,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2071,google/gson,e2e851c9bc692cec68ba7b0cbb002f82b4a229e4,0,0,26018,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2435,google/gson,1e7625b963d2e4447a4aa46a2fadc6d0e3a3aba7,0,0,32710,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2153,google/gson,503c20bb392e10fd6ffa9a12afdc33d2ba2d2c38,0,0,26765,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-1703,google/gson,6d2557d5d1a8ac498f2bcee20e5053c93b33ecce,0,0,26788,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2345,google/gson,d3e17587fe8dbf1c6afd1acbad4878f19ff64c02,0,0,32071,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2364,google/gson,b7c3e1d0b8bc9b9e0270cdaf3209cc3eeefe392f,0,0,35898,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2060,google/gson,8e01b54682612471a9ab40c73911dfbf6b5be036,0,0,25860,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2479,google/gson,4dfae77af3d543bea2782f85a154cc070290f086,0,0,33596,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__dubbo-3093,apache/dubbo,95fc75a05fbbdc23319e49dc9fd54084def3bb92,0,0,114073,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__guava-3971,google/guava,02811634236ccef4b38d319007cffdf96ea5b7c0,0,0,518428,0,0,0,0,9,0,0,0,0
SWE-PolyBench,apache__dubbo-3622,apache/dubbo,42646d7f36dd0394a10b77e0175be430067f943f,0,0,115048,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2167,google/gson,a1d2ebc8b51a3a0df8b15c98f47d5ac95cf7f7b0,0,0,26970,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2556,google/gson,b209d8ecb2e054847b17a0eab7eb67f941bab935,0,0,36112,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2701,google/gson,99cc4cb11f73a6d672aa6381013d651b7921e00f,0,0,35530,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apolloconfig__apollo-1894,apolloconfig/apollo,b794f38a8f80df4448e8354da915ff0911e89ed1,0,0,43602,0,0,0,0,12419,4753,0,0,0
SWE-PolyBench,apache__rocketmq-7532,apache/rocketmq,46962c262c37554ff09afe9e02c7baf66a5ecc73,0,0,214754,0,301,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2158,google/gson,924c496b95deceadab0a01ea28b7023a096dc2ec,0,0,26765,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__guava-5696,google/guava,d2c202add26837e05a931bb281a65e9ea1f29f56,0,0,504249,0,0,0,0,9,0,0,0,0
SWE-PolyBench,apache__dubbo-8623,apache/dubbo,f62ca3f71a6db624cd4e3b23a58ed7dacf736d91,0,0,101620,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apache__rocketmq-7455,apache/rocketmq,7e4879a3bc120d6289aabc8354a2811f349ac8a6,0,0,211486,0,301,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-2549,google/gson,5471932375be4bb0c27a8a1d38f9f4566d6da7db,0,0,35867,0,0,0,0,0,0,0,0,0
SWE-PolyBench,google__gson-1989,google/gson,fe30b85224316cabf19f5dd3223843437c297802,0,0,26076,0,0,0,0,0,0,0,0,0
SWE-PolyBench,apolloconfig__apollo-4464,apolloconfig/apollo,63c16c117a869426f2cbbfdaa099de449789fd18,0,0,57394,0,0,0,0,14071,6331,0,0,0
SWE-PolyBench,apache__rocketmq-7655,apache/rocketmq,a376fbcdb82e818cfa239da677669f1118e4c40f,0,0,216460,0,301,0,0,0,0,0,0,0
